image_name,cv_width,cv_height,cv_mean_L,cv_mean_a,cv_mean_b,cv_var_L,cv_var_a,cv_var_b
IMG_1535.jp2,3.77,5.9785,106.9464,126.2747,165.2859,152.2555,3.524,34.5763
IMG_1536.jp2,3.752,6.034,106.5765,127.22,166.5745,133.9476,3.2773,28.4137
IMG_1537.jp2,3.8611,6.1275,104.3032,128.1048,163.557,116.4797,2.8383,23.0304
IMG_1538.jp2,3.766,6.0284,101.6142,127.3013,161.3698,122.0362,3.7794,24.3308
IMG_1539.jp2,4.0048,5.9299,104.3448,126.8978,161.967,130.7754,2.57,40.8532
IMG_1540.jp2,3.7212,6.343,107.3878,125.6153,164.435,94.9183,2.5636,36.5813
IMG_1541.jp2,3.8983,6.0028,108.4596,125.3393,162.2566,77.6125,1.8223,33.5534
IMG_1542.jp2,3.7582,6.0807,103.945,125.0234,161.6776,93.6585,4.4452,27.6469
IMG_1543.jp2,3.7224,6.0121,109.5168,124.4248,162.7586,94.9583,2.5198,23.3697
IMG_1544.jp2,3.9118,6.1631,105.1078,126.5779,160.0673,295.3246,2.1606,25.7053
IMG_1545.jp2,3.7595,5.6112,107.5778,126.4575,162.9335,171.596,2.8847,29.7545
IMG_1546.jp2,3.7068,5.721,106.8078,126.4873,162.6669,192.4283,4.8511,33.4119
IMG_1547.jp2,3.7753,6.1137,105.2838,127.2379,163.6094,139.1977,3.0758,48.0207
IMG_1548.jp2,3.6358,6.3451,98.1811,127.1597,163.0344,182.0249,2.9142,36.7522
IMG_1549.jp2,3.7407,5.9262,110.3165,127.0508,164.4978,155.1045,3.166,39.7647
IMG_1550.jp2,3.3914,5.6105,104.3532,126.368,163.0537,175.0488,3.9314,36.458
IMG_1551.jp2,3.8097,5.8967,110.4612,125.2551,163.3178,160.3093,4.5134,28.5725
IMG_1552.jp2,3.7969,5.8565,105.1809,125.8356,162.641,227.263,2.4682,34.1342
IMG_1553.jp2,3.8679,6.0261,110.4286,124.6917,157.8249,155.0902,2.4095,20.487
IMG_1554.jp2,3.76,6.0328,105.366,126.7248,160.8298,183.5663,7.8934,34.1174
IMG_1555.jp2,3.7891,6.1327,110.614,125.1633,162.8967,136.2707,3.2488,38.8769
IMG_1556.jp2,3.6339,5.8787,110.9927,124.1487,165.2533,123.8998,2.8593,40.2495
IMG_1557.jp2,3.4851,6.2004,110.8129,125.8746,161.2535,126.3179,3.5496,31.7272
IMG_1558.jp2,3.6318,5.9087,112.9473,123.6851,163.6945,171.7689,1.6876,24.7828
IMG_1559.jp2,3.6053,5.7015,109.5154,125.0714,160.4188,257.9801,6.5301,32.7861
IMG_1561.jp2,4.0535,6.0239,107.4073,126.4419,164.3008,139.0205,3.6194,53.7388
IMG_1562.jp2,3.7145,5.9011,108.3524,124.3777,162.6498,262.0888,4.5798,38.0682
IMG_1563.jp2,3.9562,6.6357,109.2878,126.6572,163.4306,230.9555,3.3882,39.9422
IMG_1564.jp2,4.0993,5.9243,109.1413,124.3135,165.1883,173.3864,2.0713,30.7942
IMG_1565.jp2,3.7205,5.6721,107.979,127.5977,159.7626,194.8687,5.3538,38.1048
IMG_1566.jp2,3.7861,5.6582,103.9166,126.1197,161.6786,265.8516,4.7283,35.4254
IMG_1567.jp2,3.6817,5.4176,113.515,124.1316,164.0842,168.6575,4.8632,33.0997
IMG_1568.jp2,3.4591,5.8398,105.8388,126.7098,162.1396,161.0894,6.1969,46.4395
IMG_1569.jp2,3.6707,5.8703,102.8695,127.2125,159.2148,163.9942,5.5203,30.5347
IMG_1570.jp2,3.535,5.6727,112.9263,124.3964,163.5526,148.9086,2.1017,46.7292
IMG_1571.jp2,3.7002,5.6625,105.5145,126.846,164.7475,117.0949,2.4336,32.3849
IMG_1572.jp2,4.064,5.9343,108.5288,127.0069,165.9085,158.3785,3.9825,36.0635
IMG_1573.jp2,3.8499,6.1178,102.0192,128.5461,161.2771,189.0532,2.6267,24.1126
IMG_1574.jp2,3.9645,5.9258,107.3309,125.4605,159.9625,230.9186,2.4645,22.3136
IMG_1575.jp2,3.794,6.076,110.892,124.7554,163.2577,119.3394,2.9556,37.3205
IMG_1576.jp2,3.8057,5.8279,107.854,127.7324,160.7715,178.4243,4.5963,34.9544
IMG_1577.jp2,3.7137,5.9839,102.579,127.6447,161.8198,273.5734,3.7528,25.2904
IMG_1578.jp2,3.8859,6.2428,109.8098,125.9133,164.1114,187.5303,3.8702,27.9528
IMG_1579.jp2,3.8059,6.1985,103.8662,126.8272,163.2606,223.8543,4.0789,28.0759
IMG_1580.jp2,3.8414,6.0565,109.1002,125.4723,162.3855,192.5178,2.1576,25.5569
IMG_1581.jp2,3.8134,6.0847,108.6875,125.0424,166.2307,231.0803,2.2596,31.1124
IMG_1582.jp2,3.6844,6.206,111.301,127.4204,166.3199,115.0603,2.4978,30.2834
IMG_1583.jp2,3.7984,5.7887,102.0021,129.0384,162.0609,170.3597,3.9767,28.566
IMG_1584.jp2,3.7029,5.9611,109.9646,125.8534,164.6297,194.4143,3.4088,40.7803
IMG_1585.jp2,3.8077,5.9934,86.767,127.2168,152.7037,772.5777,8.2457,50.0076
IMG_1589.jp2,3.9113,5.8464,88.7799,127.7011,152.9551,443.5052,5.638,45.6755
IMG_1593.jp2,3.8523,5.5934,89.8554,127.8654,152.5786,506.8679,4.7636,60.08
IMG_1597.jp2,3.5651,5.5457,100.4726,125.6039,155.4266,378.0231,6.505,46.3221
IMG_1601.jp2,3.5932,5.7053,88.2282,127.538,152.8545,745.2926,10.9981,85.2417
IMG_1605.jp2,3.4959,5.566,94.5616,127.7467,155.2676,440.6348,9.3646,91.0271
IMG_1609.jp2,3.4474,5.39,102.0311,125.8171,154.8291,513.3817,8.8643,69.797
IMG_1613.jp2,3.5006,5.6443,82.4376,128.1108,151.3103,705.1621,9.5156,115.1137
IMG_1618.jp2,3.9384,6.1203,104.5563,126.4417,159.4321,502.3722,7.0185,80.8353
IMG_1622.jp2,3.678,5.6617,100.594,125.7154,153.5942,494.7972,4.8798,108.3055
IMG_1626.jp2,3.7213,6.3481,105.7225,125.7491,158.416,394.5173,4.9104,57.0589
IMG_1630.jp2,3.8009,6.2385,84.9504,127.4522,149.0535,653.2952,5.3279,99.0433
IMG_1634.jp2,3.579,5.7593,92.1787,126.6672,151.9942,687.1257,7.9071,101.9174
IMG_1638.jp2,3.7163,5.9653,100.8943,125.0895,156.0894,400.125,5.0373,79.5182
IMG_1642.jp2,3.6084,5.9272,95.9968,125.8673,152.9612,701.8378,18.3662,152.639
IMG_1646.jp2,3.4522,5.5344,96.5266,125.8646,155.3701,522.1249,9.5189,105.7559
IMG_1650.jp2,3.5875,5.9427,83.052,126.7811,151.7943,567.3543,11.1819,95.188
IMG_1654.jp2,3.914,5.9465,98.9978,125.138,157.0888,537.3573,5.9033,77.0969
IMG_1658.jp2,3.5637,5.6881,86.9496,126.6027,151.6976,315.0323,5.8462,68.583
IMG_1662.jp2,3.5353,5.924,81.5838,127.9579,147.9985,349.9572,9.5255,63.2386
IMG_1666.jp2,3.6566,5.4576,90.2439,126.6451,155.6688,558.3314,8.3945,83.22
IMG_1670.jp2,3.5476,5.2804,98.0671,127.302,155.5169,310.6532,7.5884,48.5922
IMG_1674.jp2,3.697,5.375,99.0302,125.2867,158.4249,595.838,10.4222,68.3074
IMG_1678.jp2,3.8972,5.6885,99.9286,125.3459,158.6864,353.944,6.2448,35.1864
IMG_1682.jp2,3.9094,5.6378,102.3276,126.4203,156.6694,381.6048,5.6458,42.475
IMG_1686.jp2,3.6783,5.4352,102.4642,124.5367,155.9699,478.4101,8.5317,60.0291
IMG_1690.jp2,3.5584,5.7398,85.6716,127.2285,155.2318,624.9066,9.6234,124.4101
IMG_1694.jp2,3.53,5.6096,92.1902,126.0928,154.8716,547.9698,8.2095,81.8539
IMG_1698.jp2,3.5795,5.4102,100.7903,125.6951,155.2626,591.0759,6.9357,69.9263
IMG_1702.jp2,3.5972,5.8267,100.6016,126.1714,156.3849,455.4952,9.3675,61.5223
IMG_1706.jp2,3.6108,5.7582,89.9381,126.3863,153.8001,470.0379,8.8165,64.0199
IMG_1710.jp2,3.5238,5.5257,94.3876,126.2023,152.3588,664.5152,10.4131,101.5429
IMG_1714.jp2,3.4316,5.6054,84.6668,126.168,150.9825,847.927,16.1957,91.7287
IMG_1718.jp2,3.2793,5.5066,105.4516,125.7785,156.8889,346.8468,7.4673,68.9782
IMG_1723.jp2,3.3038,5.5658,86.159,126.3462,152.1876,398.0774,9.0019,67.8712
IMG_1727.jp2,3.4485,5.2686,89.1015,126.372,152.3524,486.4347,7.7373,59.2344
IMG_1731.jp2,3.7043,5.5633,97.5606,125.8645,156.7482,556.733,8.0147,67.3802
IMG_1735.jp2,3.542,5.3883,105.9694,126.5521,160.054,204.9077,3.767,42.3096
IMG_1739.jp2,3.5089,5.5841,89.0249,126.7842,153.6204,389.3005,6.4281,53.157
IMG_1743.jp2,3.5632,5.7749,85.0002,127.7799,151.5864,440.6647,9.1629,74.2983
IMG_1747.jp2,3.6708,5.7383,26.5685,129.1273,128.1629,241.4213,4.0926,8.1285
IMG_1748.jp2,3.2359,6.106,26.4263,130.7695,129.5608,211.2873,7.9113,5.2866
IMG_1749.jp2,3.4398,5.7423,31.2066,129.4999,128.7616,219.0779,4.5488,8.62
IMG_1750.jp2,3.6231,5.8841,28.3764,128.5168,128.0974,265.1118,3.0625,16.0217
IMG_1751.jp2,3.2562,5.9255,22.1948,131.2393,128.7002,180.1588,4.1053,5.377
IMG_1752.jp2,3.4517,5.7855,30.6765,130.3761,131.131,197.387,4.0808,18.1769
IMG_1753.jp2,3.2728,5.4267,26.8248,129.8474,128.2907,151.9453,3.527,9.2876
IMG_1754.jp2,2.9706,5.2438,28.3008,129.8141,128.381,219.4345,4.1537,8.2676
IMG_1755.jp2,3.5495,6.3134,33.7251,128.7281,127.8034,216.5086,3.4355,14.1019
IMG_1756.jp2,3.4383,6.052,28.2149,129.2152,128.4183,226.7012,4.3852,7.8473
IMG_1757.jp2,3.253,5.6928,30.0628,129.5588,126.7912,232.9669,4.283,7.0711
IMG_1758.jp2,3.5277,6.3386,37.2689,130.4747,130.4127,212.9462,5.5753,9.183
IMG_1759.jp2,3.0787,5.7236,27.4439,128.8273,127.273,194.9989,3.7489,9.2593
IMG_1760.jp2,3.1318,5.9421,27.54,129.0957,128.4985,238.6499,3.7409,10.2371
IMG_1761.jp2,3.4496,6.2682,31.5109,128.5804,127.5119,270.3887,3.4934,13.045
IMG_1762.jp2,3.3361,5.5789,31.6556,130.2828,127.9399,239.7124,5.1096,5.9499
IMG_1763.jp2,3.3512,5.5574,32.2286,129.9667,126.0879,207.5405,3.6864,17.4295
IMG_1764.jp2,3.3187,5.5452,30.5205,129.6309,129.0897,166.2576,4.89,12.1066
IMG_1765.jp2,3.4019,5.8138,27.6297,130.6169,126.2964,202.819,5.0852,6.9464
IMG_1766.jp2,3.3003,5.6398,30.5035,130.6474,128.1225,198.0502,4.491,11.4441
IMG_1767.jp2,3.1214,5.5599,25.4925,130.2741,128.7551,182.9382,4.7532,4.5833
IMG_1768.jp2,3.2974,5.7565,31.6695,131.6908,130.0437,167.3355,5.8469,6.5699
IMG_1769.jp2,3.4034,5.9525,30.3694,129.0471,127.2512,189.5266,3.6255,8.2194
IMG_1770.jp2,3.2286,5.7723,27.0568,129.5206,127.2295,243.0327,4.1093,28.8207
IMG_1771.jp2,3.045,5.2001,26.3127,128.5863,126.5034,187.6581,3.1178,8.0412
IMG_1772.jp2,3.1168,5.2649,29.9717,129.1078,127.1629,204.319,5.58,9.6687
IMG_1773.jp2,3.4211,4.8933,31.5808,129.7864,126.7083,219.8482,5.0206,6.5786
IMG_1774.jp2,3.0034,5.3471,28.1004,129.0334,127.6322,210.8835,3.6895,11.3062
IMG_1775.jp2,3.474,6.0375,34.0117,129.1499,126.6316,302.4709,5.5706,43.1029
IMG_1776.jp2,3.4234,5.6032,26.1118,129.5961,125.9499,220.7039,4.098,10.0713
IMG_1777.jp2,3.3107,5.9509,27.2101,130.0984,128.0972,207.6163,4.6252,11.0356
IMG_1778.jp2,3.4076,5.7635,26.5028,129.472,127.3069,171.3455,3.8717,6.357
IMG_1779.jp2,3.3309,5.6681,30.8153,129.7777,126.8474,235.6618,4.2488,9.1989
IMG_1780.jp2,3.376,5.3372,33.55,130.3217,130.177,196.2805,5.3256,6.9781
IMG_1781.jp2,3.1109,5.3849,22.3566,128.9391,127.9845,179.4996,3.8817,7.8023
IMG_1782.jp2,3.3999,5.5126,33.172,130.3772,128.247,211.7408,6.2906,11.8925
IMG_1783.jp2,3.5023,5.5195,35.0886,130.6453,127.7097,220.7344,4.3606,7.9611
IMG_1784.jp2,3.6937,5.9548,33.0393,127.9199,126.3013,230.4829,2.8624,7.9855
IMG_1785.jp2,3.3974,5.5226,27.301,128.5008,126.9475,215.7922,3.182,7.4304
IMG_1786.jp2,3.3646,5.7198,38.6768,130.7635,131.0988,162.5932,6.4451,9.9365
