image_name,cv_width,cv_height,cv_mean_L,cv_mean_a,cv_mean_b,cv_var_L,cv_var_a,cv_var_b
IMG_0883.jp2,3.0051,4.4941,78.0766,110.285,149.049,303.5299,4.7794,22.6474
IMG_0884.jp2,3.0272,4.3575,76.3515,108.6766,150.385,375.8659,5.6789,32.5456
IMG_0885.jp2,3.3968,4.5381,80.1943,108.8275,151.0384,284.8911,5.0851,18.362
IMG_0886.jp2,3.4369,4.6323,77.7155,108.5233,150.8808,312.5642,4.4018,28.6877
IMG_0887.jp2,3.4571,4.6277,72.7667,110.0562,148.7375,259.4907,5.5421,25.0363
IMG_0888.jp2,3.3626,4.37,86.4424,108.0667,152.6869,391.2663,10.2642,37.1735
IMG_0889.jp2,3.109,4.7382,74.2983,108.8851,149.2351,283.1322,5.4283,19.5111
IMG_0890.jp2,3.2355,4.6221,71.4068,110.036,147.0988,251.1095,3.2663,19.2026
IMG_0891.jp2,3.3933,4.7778,78.2262,108.7812,151.41,344.6249,5.7072,37.6752
IMG_0892.jp2,3.3042,4.6639,73.219,109.0556,148.3659,227.9834,6.1138,23.1834
IMG_0893.jp2,3.2567,4.3966,73.9812,109.4491,149.6846,279.6187,5.9336,30.5162
IMG_0894.jp2,3.2607,4.334,74.6945,109.6452,148.7032,328.8343,4.4267,21.9334
IMG_0895.jp2,3.1854,4.4377,72.6076,109.0026,149.3806,293.9511,4.6517,15.1981
IMG_0896.jp2,3.2055,4.2242,78.0374,108.559,149.9653,183.959,4.0836,22.8025
IMG_0897.jp2,3.3712,4.649,71.1348,109.6137,149.42,237.0721,3.6724,25.3739
IMG_0898.jp2,3.4457,4.6443,74.6813,109.7894,148.7827,283.5394,5.3598,32.4875
IMG_0899.jp2,3.4433,4.5457,75.4904,109.8887,148.9644,345.6163,5.9404,29.9318
IMG_0900.jp2,3.247,4.6249,76.8479,108.4393,150.3256,288.4862,6.2517,25.5736
IMG_0926.jp2,3.855,5.8569,69.9775,110.9511,151.0371,276.6977,3.4781,25.3782
IMG_0927.jp2,3.78,5.8122,78.2748,110.5124,152.2477,291.4329,4.5159,27.624
IMG_0928.jp2,3.7749,5.5743,77.6151,109.9638,150.9005,394.2479,6.0928,29.8752
IMG_0929.jp2,3.6946,5.657,79.249,109.8679,149.3404,352.2441,8.5521,39.3756
IMG_0930.jp2,3.2621,5.3428,82.2149,109.8046,152.5748,470.4767,5.6608,37.0728
IMG_0931.jp2,3.5595,5.3123,83.2282,108.2078,152.0315,500.5344,9.9612,41.4428
IMG_0932.jp2,3.466,5.4754,76.9174,111.0717,151.4683,281.4816,4.286,17.5708
IMG_0933.jp2,3.5374,5.0091,74.4032,109.6359,147.7241,361.1026,5.9285,25.8745
IMG_0934.jp2,3.6358,5.7578,84.291,109.1677,151.508,338.9965,8.6963,47.7025
IMG_0935.jp2,3.5462,5.4953,80.278,109.7373,151.245,321.4996,8.4218,28.0627
IMG_0936.jp2,3.7163,5.7704,80.603,111.2808,151.8956,341.3978,8.2607,30.5853
IMG_0937.jp2,3.7479,5.4736,78.9323,109.0466,149.7332,325.9361,6.2565,24.0956
IMG_0938.jp2,3.4422,5.6205,85.2125,107.8862,151.9319,361.99,6.036,37.5206
IMG_0939.jp2,3.5834,5.49,89.16,108.7556,154.0755,395.2038,7.0021,53.2833
IMG_0940.jp2,3.6526,5.4587,79.2501,109.7215,150.5923,418.2991,7.3887,33.5912
IMG_0942.jp2,3.5928,5.3959,85.2201,109.0419,152.1901,546.5707,7.5452,53.3079
IMG_0943.jp2,3.6006,5.7394,82.9489,109.5448,151.434,403.3624,7.4272,36.594
IMG_0944.jp2,3.572,5.6748,72.9281,110.3581,149.7997,331.2913,4.6364,19.7529
IMG_0945.jp2,3.7691,5.8977,83.6466,110.1451,152.6381,523.261,11.4489,36.2806
IMG_0946.jp2,3.7068,5.6344,79.8836,108.7517,151.0637,311.1031,5.7452,35.9791
